metric,platform,phase_local_peak
PC1,JP1,8.916694622234473
PC1,JP1,13.752131363449884
PC1,JP1,9.540245114936353
PC1,JP1,5.340683440348212
PC1,JP1,7.204666827827218
PC1,JP1,16.014610604624696
PC1,JP1,7.47580685718345
PC1,JP1,13.879751273160377
PC1,JP1,22.78666820846548
PC1,JP1,21.989940315555017
PC1,JP1,3.6953246029561626
PC1,JP1,18.56418626320216
PC1,JP1,4.512814968902958
PC1,JP1,7.954515560475389
PC1,JP1,21.27514410022206
PC1,JP1,21.737927015874057
PC1,JP1,9.255059918345577
PC1,JP1,9.823240099433628
PC1,JP1,21.53523248581096
PC1,JP1,20.668429714666956
PC1,JP1,21.285592874035054
PC1,JP1,19.337324226446132
PC1,JP1,22.22162804076978
PC1,JP1,4.461618715709257
PC1,JP1,21.34741566025358
PC1,JP1,9.891145454084835
PC1,JP1,11.923823545263474
PC1,JP1,20.23067445781588
PC1,JP1,8.78605711902955
PC1,JP1,6.309913596235436
PC1,JP1,20.375086770767798
PC1,JP1,7.044071478777834
PC1,JP1,9.623453932196458
PC1,JP1,18.87338405477508
PC1,JP1,9.731631460461958
PC1,JP1,6.726002383555858
PC1,JP1,9.477818718078712
PC1,JP1,9.410164526363518
PC1,JP1,20.57334161520856
PC1,JP1,8.895771918036388
PC1,JP1,13.917081964114084
PC1,JP1,14.663396351063422
PC1,JP1,9.35959683569036
PC1,JP1,6.120970275961287
PC1,JP1,19.48697024369313
PC1,JP1,9.68837495912769
PC1,JP1,6.7632256123942085
PC1,JP1,9.962659782348808
PC1,JP1,7.229977842247464
PC1,JP1,12.60175874804972
PC1,JP1,11.912062732830174
PC1,JP1,7.243914454325125
PC1,JP1,18.36973206963
PC1,JP1,6.444239864144482
PC1,JP1,20.08385648093028
PC1,JP1,5.978073350866353
PC1,JP1,17.612643555097033
PC1,JP1,21.477748606102764
PC1,JP1,11.868936431289768
PC1,JP1,19.936629697072487
PC1,JP1,6.469409352662908
PC1,JP1,20.858354740145423
