metric,local_hour,n_servers,weight_col,weight_sum,total_phases,weighted_density,weighted_sd_density,weighted_sem_density,kappa,min_phases
PC1,15.100000000000001,8,n_phases,1734.0,1734,0.030178814828510706,0.007463036309233563,0.0035552857700906497,4.0,20
PC1,15.200000000000001,8,n_phases,1734.0,1734,0.030429333898053086,0.007608245396009153,0.003624461341334002,4.0,20
PC1,15.3,8,n_phases,1734.0,1734,0.030691351290347356,0.00774187358357349,0.0036881199347060718,4.0,20
PC1,15.4,8,n_phases,1734.0,1734,0.030964663128917956,0.00786320625756847,0.00374592111795473,4.0,20
PC1,15.5,8,n_phases,1734.0,1734,0.031249064387927832,0.007971558652142306,0.0037975386782373986,4.0,20
PC1,15.600000000000001,8,n_phases,1734.0,1734,0.031544345587647814,0.008066279499941936,0.003842662360926212,4.0,20
PC1,15.700000000000001,8,n_phases,1734.0,1734,0.031850289533095606,0.008146755083731291,0.0038809997997421054,4.0,20
PC1,15.8,8,n_phases,1734.0,1734,0.03216666818268783,0.008212413572032584,0.0039122785821934835,4.0,20
PC1,15.9,8,n_phases,1734.0,1734,0.0324932397251718,0.008262729567752777,0.003936248416478038,4.0,20
PC1,16.0,8,n_phases,1734.0,1734,0.03282974593253937,0.008297228838258256,0.003952683384823949,4.0,20
PC1,16.1,8,n_phases,1734.0,1734,0.03317590984457377,0.008315493228239306,0.003961384283909576,4.0,20
PC1,16.2,8,n_phases,1734.0,1734,0.03353143382767956,0.008317165783471005,0.0039621810657512494,4.0,20
PC1,16.3,8,n_phases,1734.0,1734,0.033895998037252455,0.008301956134870976,0.00395493540259283,4.0,20
PC1,16.400000000000002,8,n_phases,1734.0,1734,0.034269259299599265,0.008269646208903055,0.00393954340726188,4.0,20
PC1,16.5,8,n_phases,1734.0,1734,0.034650850416829894,0.008220096343419211,0.003915938546670936,4.0,20
PC1,16.6,8,n_phases,1734.0,1734,0.0350403798866546,0.00815325189874183,0.0038840947912443307,4.0,20
PC1,16.7,8,n_phases,1734.0,1734,0.03543743201900244,0.008069150463666937,0.003844030047757015,4.0,20
PC1,16.8,8,n_phases,1734.0,1734,0.03584156742310432,0.007967929766831725,0.0037958099281990214,4.0,20
PC1,16.900000000000002,8,n_phases,1734.0,1734,0.03625232383232046,0.007849836417419034,0.003739551913724427,4.0,20
PC1,17.0,8,n_phases,1734.0,1734,0.03666921722960269,0.007715235617420256,0.003675429981437109,4.0,20
PC1,17.1,8,n_phases,1734.0,1734,0.03709174323400938,0.007564622012492892,0.003603679773587014,4.0,20
PC1,17.2,8,n_phases,1734.0,1734,0.0375193787079882,0.007398631881234138,0.0035246044043690484,4.0,20
PC1,17.3,8,n_phases,1734.0,1734,0.03795158354596395,0.007218056903803865,0.00343858101910185,4.0,20
PC1,17.400000000000002,8,n_phases,1734.0,1734,0.03838780260680375,0.007023859798488179,0.0033460682432672434,4.0,20
PC1,17.5,8,n_phases,1734.0,1734,0.038827467755615075,0.00681719216316228,0.0032476146819327804,4.0,20
PC1,17.6,8,n_phases,1734.0,1734,0.03926999998367449,0.006599414894500598,0.0031438686471769073,4.0,20
PC1,17.7,8,n_phases,1734.0,1734,0.03971481157869526,0.006372121555125152,0.003035589289870538,4.0,20
PC1,17.8,8,n_phases,1734.0,1734,0.04016130832076247,0.006137164969823391,0.002923659269742011,4.0,20
PC1,17.900000000000002,8,n_phases,1734.0,1734,0.04060889168177671,0.005896687073283181,0.0028090989744191893,4.0,20
PC1,18.0,8,n_phases,1734.0,1734,0.04105696100792272,0.005653151466071229,0.0026930820286407277,4.0,20
PC1,18.1,8,n_phases,1734.0,1734,0.04150491566536255,0.005409377049693492,0.0025769513175268586,4.0,20
